"Gemeinde_Nr","Ja_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Text_d","Text_f"
2302,96.103896104,"St. Antoni FR","Saint-Antoine (FR)","NA NA","Saint-Antoine approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96,1 pourcent de oui. Saint-Antoine a approuvé le texte, tout comme son canton."
2303,94.923857868,"St. Silvester FR","Saint-Silvestre (FR)","NA NA","Saint-Silvestre approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 94,9 pourcent de oui. Saint-Silvestre a approuvé le texte, tout comme son canton."
2304,97.175141243,"St. Ursen FR","Saint-Ours (FR)","NA NA","A Saint-Ours, les habitants disent oui à 97,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Saint-Ours a approuvé le texte, tout comme son canton."
2305,97.153351699,"Schmitten FR","Schmitten (FR)","NA NA","A Schmitten (FR), les habitants disent oui à 97,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Schmitten (FR) a approuvé le texte, tout comme son canton."
2306,96.363636364,"Tafers FR","Tavel (FR)","NA NA","C'est oui à 96,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Tavel. Tavel a approuvé le texte, tout comme son canton."
2307,97.593582888,"Tentlingen FR","Tinterin (FR)","NA NA","A Tinterin, les habitants disent oui à 97,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Tinterin a approuvé le texte, tout comme son canton."
2308,95.05988024,"Ueberstorf FR","Ueberstorf (FR)","NA NA","C'est oui à 95,1 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Ueberstorf. Ueberstorf a approuvé le texte, tout comme son canton."
2309,96.912114014,"Wünnewil-Flamatt FR","Wünnewil-Flamatt (FR)","NA NA","A Wünnewil-Flamatt, les habitants disent oui à 96,9 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Wünnewil-Flamatt a approuvé le texte, tout comme son canton."
2321,94.436310395,"Attalens FR","Attalens (FR)","NA NA","A Attalens, les habitants disent oui à 94,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Attalens a approuvé le texte, tout comme son canton."
2323,92.923076923,"Bossonnens FR","Bossonnens (FR)","NA NA","Bossonnens approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 92,9 pourcent de oui. Bossonnens a approuvé le texte, tout comme son canton."
2325,94.636963696,"Châtel-Saint-Denis FR","Châtel-Saint-Denis (FR)","NA NA","A Châtel-Saint-Denis, les habitants disent oui à 94,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Châtel-Saint-Denis a approuvé le texte, tout comme son canton."
2328,97.169811321,"Granges (Veveyse) FR","Granges (Veveyse) (FR)","NA NA","C'est oui à 97,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Granges (Veveyse). Granges (Veveyse) a approuvé le texte, tout comme son canton."
2333,94.628099174,"Remaufens FR","Remaufens (FR)","NA NA","C'est oui à 94,6 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg à Remaufens. Remaufens a approuvé le texte, tout comme son canton."
2335,94.444444444,"Saint-Martin FR","Saint-Martin (FR)","NA NA","A Saint-Martin (FR), les habitants disent oui à 94,4 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. Saint-Martin (FR) a approuvé le texte, tout comme son canton."
2336,96.283783784,"Semsales FR","Semsales (FR)","NA NA","Semsales approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 96,3 pourcent de oui. Semsales a approuvé le texte, tout comme son canton."
2337,95.582329317,"Le Flon FR","Le Flon (FR)","NA NA","Le Flon approuve la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg avec 95,6 pourcent de oui. Le Flon a approuvé le texte, tout comme son canton."
2338,97.183098592,"La Verrerie FR","La Verrerie (FR)","NA NA","A La Verrerie, les habitants disent oui à 97,2 pourcent à la réforme de la Caisse de prévoyance du personnel de l'Etat de Fribourg. La Verrerie a approuvé le texte, tout comme son canton."
